,0,1,2,3,4,5,6,7,8,9,chain_break_fraction,energy,num_occurrences
86,0,0,0,1,0,1,1,1,1,1,0.0,-363.98415455486577,3
87,1,0,1,1,1,1,1,1,1,0,0.0,-363.85381794764237,1
88,1,0,1,1,1,0,1,1,0,1,0.0,-363.83517557199605,3
89,0,1,1,0,1,0,1,1,1,0,0.0,-362.23312445238764,1
90,1,0,0,0,0,1,1,0,1,1,0.0,-361.94721421029885,4
91,0,1,1,1,0,0,1,1,1,1,0.0,-361.8100374446037,4
92,1,1,1,1,0,1,1,1,0,0,0.0,-361.6976406259399,2
93,1,0,1,1,0,0,1,1,1,0,0.0,-361.4162484837251,2
94,1,1,1,0,0,1,0,1,1,0,0.0,-361.2739556431478,1
95,0,1,0,1,0,1,1,1,1,1,0.0,-360.2669067019731,2
96,1,1,1,1,1,0,1,1,0,1,0.0,-360.10792771910326,3
97,0,1,0,1,1,1,0,1,1,0,0.0,-360.040755455925,2
98,1,1,1,1,1,0,1,0,0,0,0.0,-359.98063083678096,3
99,1,0,0,1,0,1,1,1,1,0,0.0,-359.87311774109435,8
100,1,0,1,0,1,1,1,1,0,0,0.0,-359.3343282358403,3
101,1,0,1,1,0,1,1,1,0,1,0.0,-358.9112412280564,2
102,1,0,0,1,1,0,1,1,1,1,0.0,-358.2934048342577,2
103,1,1,0,0,0,1,1,0,1,1,0.0,-358.23996635740616,1
104,1,1,0,0,1,1,0,1,1,1,0.0,-358.1511119936805,2
105,1,1,0,0,1,1,0,0,1,0,0.0,-358.0038151113582,1
106,0,0,0,0,1,1,1,1,1,1,0.0,-357.90359431187346,2
107,1,0,1,1,1,1,1,1,1,1,0.0,-357.33017069686616,3
108,0,1,1,0,0,1,1,1,1,0,0.0,-357.309190108448,4
109,1,0,1,0,1,0,1,1,1,0,0.0,-355.3356882407327,2
110,1,1,0,1,1,0,1,1,1,1,0.0,-354.566156981365,1
111,0,0,1,0,0,1,1,1,1,1,0.0,-354.52279071056444,2
112,0,1,0,0,1,1,1,1,1,1,0.0,-354.1863464589808,3
113,1,1,1,1,0,0,1,0,1,0,0.0,-351.0580564977338,2
114,0,1,1,1,1,1,1,1,0,0,0.0,-351.0030765944159,2
115,0,1,1,0,0,1,1,1,1,1,0.0,-350.80554285767175,1
116,0,0,1,1,1,0,1,1,1,0,0.0,-350.7216844522011,1
117,0,1,1,0,1,1,0,1,1,0,0.0,-350.5793916116238,2
118,1,0,1,0,0,1,1,1,1,0,0.0,-350.41175389679313,4
119,1,1,0,1,0,1,1,0,1,0,0.0,-349.51492575510315,2
120,0,0,0,1,1,1,1,1,1,0,0.0,-349.17855370957045,1
121,1,1,1,0,1,1,1,0,0,0,0.0,-348.9761362498491,1
122,1,0,1,0,1,0,1,1,1,1,0.0,-348.83204098995645,2
123,1,0,0,0,0,1,1,1,0,1,0.0,-348.8299807785161,1
124,0,1,1,1,0,0,1,1,0,0,0.0,-348.54550713049866,1
125,1,0,1,1,0,0,1,0,1,1,0.0,-348.27165709985036,3
126,1,0,0,1,0,1,1,0,1,1,0.0,-346.7285263572196,1
